date,county,quantile,hosp_census_with_covid,hosp_census_for_covid,cases,Rt
2022-01-31,Total,0.05,15.816554606475,9.48993276388502,217.501492465306,0.756147075387102
2022-01-31,Total,0.5,21.7322477767787,13.0393486660672,359.617595748637,0.826465958356114
2022-01-31,Total,0.95,27.4987241078027,16.4992344646816,528.963805171581,0.874566462663957
2022-02-01,Total,0.05,14.5483595881084,8.72901575286504,209.049682981144,0.740596573262183
2022-02-01,Total,0.5,20.9231719625482,12.5539031775289,344.889483102249,0.810633596503711
2022-02-01,Total,0.95,26.9513689994125,16.1708213996475,506.389741261319,0.859892428457678
2022-02-02,Total,0.05,14.5794512236512,8.74767073419075,198.513681848814,0.725146977936869
2022-02-02,Total,0.5,20.743852003141,12.4463112018846,330.237639096549,0.795820146543676
2022-02-02,Total,0.95,26.651924667218,15.9911548003308,481.2428898211,0.847393018291252
2022-02-03,Total,0.05,14.0898633972244,8.45391803833463,189.768669656961,0.711989321089769
2022-02-03,Total,0.5,20.2666226501283,12.159973590077,315.177248864377,0.781027205740115
2022-02-03,Total,0.95,25.9652234652345,15.5791340791407,457.438653051626,0.83449578545502
2022-02-04,Total,0.05,12.8474747418866,7.70848484513197,180.306268433484,0.698578448749086
2022-02-04,Total,0.5,19.1881430519854,11.5128858311913,299.337411331801,0.768434806844528
2022-02-04,Total,0.95,25.1442964935457,15.0865778961274,432.670139359484,0.822590652597136
2022-02-05,Total,0.05,12.744179850157,7.64650791009418,170.76787163262,0.686626632705823
2022-02-05,Total,0.5,18.696102009575,11.217661205745,282.737002836842,0.756738940471186
2022-02-05,Total,0.95,24.5627938807162,14.7376763284297,407.521652566264,0.812115847112817
2022-02-06,Total,0.05,11.9729396147916,7.18376376887494,161.503676720584,0.675677450262348
2022-02-06,Total,0.5,17.9639891436114,10.7783934861669,267.987623680008,0.745638779664594
2022-02-06,Total,0.95,23.7720705628023,14.2632423376814,385.018343127333,0.802219046758897
2022-02-07,Total,0.05,11.4528025282055,6.8716815169233,151.950991713764,0.666086596197397
2022-02-07,Total,0.5,17.3806116935908,10.4283670161545,251.796361484719,0.735403700486139
2022-02-07,Total,0.95,22.7563722872134,13.653823372328,362.316096198861,0.792887367586513
2022-02-08,Total,0.05,10.6112542336963,6.36675254021778,142.81482140276,0.657507882747857
2022-02-08,Total,0.5,16.4637978584494,9.87827871506961,237.075073848653,0.726008382134108
2022-02-08,Total,0.95,22.1620095522061,13.2972057313236,341.724136130636,0.784707025903979
