date,hosp_census_with_covid_Optimistic,hosp_census_with_covid_Central,hosp_census_with_covid_Pessimistic,hosp_census_for_covid_Optimistic,hosp_census_for_covid_Central,hosp_census_for_covid_Pessimistic
2022-01-12,155.568329317002,172.370948743437,188.979239108042,93.3409975902012,103.422569246062,113.387543464825
2022-01-13,163.959708531355,180.66427725703,197.589308593676,98.3758251188133,108.398566354218,118.553585156206
2022-01-14,170.849132590311,187.734110852855,204.628397229337,102.509479554187,112.640466511713,122.777038337602
2022-01-15,176.917495059945,193.893450698124,210.555246319423,106.150497035967,116.336070418875,126.333147791654
2022-01-16,182.532419083681,198.998843964215,215.727893361114,109.519451450209,119.399306378529,129.436736016669
2022-01-17,186.334715826715,203.359499153081,219.601394210727,111.800829496029,122.015699491849,131.760836526436
2022-01-18,189.451929443574,206.519920394123,222.802526183672,113.671157666144,123.911952236474,133.681515710203
2022-01-19,191.920361217976,208.359808975279,224.689901935399,115.152216730786,125.015885385167,134.81394116124
2022-01-20,193.596880765794,209.979733279062,225.783604945034,116.158128459477,125.987839967437,135.47016296702
2022-01-21,193.669229983324,210.587839087965,227.571815179819,116.201537989994,126.352703452779,136.543089107891
2022-01-22,194.418324092819,210.691639700531,227.582393307729,116.650994455691,126.414983820319,136.549435984637
2022-01-23,192.883618401418,209.313863994684,225.934014718155,115.730171040851,125.588318396811,135.560408830893
2022-01-24,191.723681970318,208.326683789269,224.735969260117,115.034209182191,124.996010273562,134.84158155607
2022-01-25,189.812999845596,206.717405150077,223.060458052695,113.887799907358,124.030443090046,133.836274831617
2022-01-26,186.386159965392,203.65355340264,219.986033885179,111.831695979235,122.192132041584,131.991620331108
